Name,lon,lat
N1,104.0471,30.65794
N2,104.0571,30.65794
N3,104.06710000000001,30.65794
N4,104.07710000000002,30.65794
N5,104.08710000000002,30.65794
N6,104.09710000000003,30.65794
N7,104.10710000000003,30.65794
N8,104.11710000000004,30.65794
N9,104.0471,30.66794
N10,104.0571,30.66794
N11,104.06710000000001,30.66794
N12,104.07710000000002,30.66794
N13,104.08710000000002,30.66794
N14,104.09710000000003,30.66794
N15,104.10710000000003,30.66794
N16,104.11710000000004,30.66794
N17,104.0471,30.677940000000003
N18,104.0571,30.677940000000003
N19,104.06710000000001,30.677940000000003
N20,104.07710000000002,30.677940000000003
N21,104.08710000000002,30.677940000000003
N22,104.09710000000003,30.677940000000003
N23,104.10710000000003,30.677940000000003
N24,104.11710000000004,30.677940000000003
N25,104.0471,30.687940000000005
N26,104.0571,30.687940000000005
N27,104.06710000000001,30.687940000000005
N28,104.07710000000002,30.687940000000005
N29,104.08710000000002,30.687940000000005
N30,104.09710000000003,30.687940000000005
N31,104.10710000000003,30.687940000000005
N32,104.11710000000004,30.687940000000005
N33,104.0471,30.697940000000006
N34,104.0571,30.697940000000006
N35,104.06710000000001,30.697940000000006
N36,104.07710000000002,30.697940000000006
N37,104.08710000000002,30.697940000000006
N38,104.09710000000003,30.697940000000006
N39,104.10710000000003,30.697940000000006
N40,104.11710000000004,30.697940000000006
N41,104.0471,30.707940000000008
N42,104.0571,30.707940000000008
N43,104.06710000000001,30.707940000000008
N44,104.07710000000002,30.707940000000008
N45,104.08710000000002,30.707940000000008
N46,104.09710000000003,30.707940000000008
N47,104.10710000000003,30.707940000000008
N48,104.11710000000004,30.707940000000008
N49,104.0471,30.71794000000001
N50,104.0571,30.71794000000001
N51,104.06710000000001,30.71794000000001
N52,104.07710000000002,30.71794000000001
N53,104.08710000000002,30.71794000000001
N54,104.09710000000003,30.71794000000001
N55,104.10710000000003,30.71794000000001
N56,104.11710000000004,30.71794000000001
